"preparations","reps"
"M FRAG/,M3/",1
"/M FRAGMENT",1
"M/ FRAGMENT",1
"M FRAGMENTS",1
"M FRAG/,P",1
"/M FRAG,PETROSAL FRAG",1
"M FRAG/,RIB FRAG,VERTEBRA FRAG,LIMB BONE FRAG",1
"M Frags",1
"M#/ & FRAGS",1
"M#/ FRAGS, ASSOCIATED",1
"M FRAGS, BONE FRAG",1
"/M FRAGS,/P",1
"M FRAGS,P FRAGS",1
"M FRAGS,PROX PHALANX",1
"/M FRAG /TOOTH FRAGS",1
"M/#? FRAG, VERY WORN",1
"M FRG.",1
"M/#, HIGH TRIGONID, LOW HEEL",1
"/M,I",1
"M,I",1
"M/,I/",1
"mic bones",1
"microfossils",1
"Microfossil slide - 103",1
"Microfossil slide - 104",1
"Microfossil slide - 120",1
"Microfossil slide - 126",1
"Microfossil slide - 136",1
"Microfossil slide - 159",1
"Microfossil slide - 190",1
"Microfossil slide - 191",1
"Microfossil slide - 198",1
"Microfossil slide - 1; Digital image - 1",1
"Microfossil slide - 239",1
"Microfossil slide - 299",1
"Microfossil slide - 2; Dry - 23",1
"Microfossil slide - 30; Microfossil slide - 2",1
"Microfossil slide - 324",1
"Microfossil slide - 35",1
"Microfossil slide - 353",1
"Microfossil slide - 38",1
"Microfossil slide - 384",1
"Microfossil slide - 39",1
"Microfossil slide - 40",1
"Microfossil slide - 400",1
"Microfossil slide - 42",1
"Microfossil slide - 505",1
"Microfossil slide - 532",1
"Microfossil slide - 54",1
"Microfossil slide - 55",1
"Microfossil slide - 62",1
"Microfossil slide - 65",1
"Microfossil slide - 68",1
"Microfossil slide - 73",1
"Microfossil slide - 77",1
"microorganisms",1
"micro shells",1
"microslide; acetate peel",1
"Microslide; Bottle",1
"Microslide; Microslide; Box",1
"Microslide; Oversized; Thin sections no remnants",1
"Microslide; Oversized; Unsectioned",1
"Microslide; Peels with remnants",1
"Microslide; plastic container",1
"Microslide; Remnants",1
"Microslide; Sample bag; Slides; Thin sections no remnants",1
"Microslide; Sample bag; Slides; Thin sections with remnants",1
"microslide; thin section",1
"Microslide; Unsectioned; SEM stub",1
"mid-caudal",1
"mid-caudal centrum",1
"mid-caudal chevron",1
"mid-caudal vertebra",1
"mid-caudal vertebrae (articulated centra)",1
"mid-caudal vertebral centrum",1
"mid coracoid",1
"MID+DIST METAPODIAL",1
"MID+DIST TARSOMETATARSUSAL",1
"middle cervical neural arch fragment",1
"middle cuneiform+metatarsal 2, co-ossified",1
"MIDDLE PART OF BODY",1
"MIDDLE PART OF BODY, A+B",1
"MIDDLE PART OF BODY WITH DERMAL PLATES | Cast",1
"MIDDLE PART OF SKULL | Cast",1
"MIDDLE PART OF SKULL WITH R & L P4/-M3/",1
"middle phalanx fragment",1
"Middle phalanx fragment",1
"Middle phalanx, in matrix",1
"middle shaft of femur",1
"mid-dorsal neural arch",1
"MID DORSAL SKULL FRAG",1
"mid dorsal vertebra",1
"MID DORSAL VERTEBRA",1
"mid-dorsal vertebra (broken into 2 pieces)",1
"mid-dorsal vertebrae (articulated)",1
"mid-dorsal vertebra fragment",1
"mid-dorsal vertebral centrum",1
"MID FEMUR,BONE FRAG",1
"MID L DENTARY W M2-M3",1
"MID L FEMUR",1
"MID L HYOPLASTRON",1
"MID LIMB BONES FRAGS",1
"mid line skull element",1
"mid L scapula",1
"MID METATARSAL,PROX METAPODIAL",1
"MID PHALANX DIGIT 3 FRAG",1
"MID PHALANX,DIST METAPODIAL",1
"MID PHALANX,PROX DIST METATARSAL 4,PROX DIST PHALANX,NAVICULAR",1
"MID PHALANX THIN SECTION",1
"MID PHALANX,VERTEBRA,SKULL,DENTARY,P3-M3/,/P2-M2,DIST TIBIA,METAPODIAL,SYMPHYSIS",1
"MID PHALNAGES",1
"MID PORTION OF BODY, LARGE, A+B",1
"MID+POST SKELETON",1
"MID+POST SKULL",1
"MID+POST SKULL,LWR MANDIBLE FRAG",1
"MID+PROX METATARSAL 2-3",1
"MID RADIUS",1
"MID RADIUS+ULNA FRAG",1
"MID R DENTARY W C+P2-M2",1
"MID R DENTARY W P3-M2",1
"MIDSECTION L JAW, EDENTULOUS",1
"MIDSECTION L JAW, M/1",1
"mid-section of cranium",1
"mid section of femur",1
"mid-section of femur",1
"MID-SECTION OF FEMUR",1
"MIDSECTION OF LARGE DORSAL SPINE, IN COUNTERPART",1
"MIDSECTION OF R JAW",1
"MIDSECTION (PECTORAL TO PELVIC GIRDLE) OF SMALL ARTICULATED INDIVIDUAL",1
"MIDSECTION R JAW, P/4, ALVEOLI OF P/1-P/2-P/3",1
"?midshaft fibula",1
"mid-shaft section of humerus",1
"MID-THORACIC VERTEBRA",1
"MID TIBIA-FIBULA",1
"MID TIBIA FRAG.",1
"mid trunk vertebra",1
"mid-trunk vertebra",1
"MID-TRUNK VERTEBRA",1
"mid-trunk vertebrae (2)",1
"MID ULNA FRAG",1
"M+I FRAGS",1
"M/,I FRAGS,DENTARY",1
"MILK M1/, M2/",1
"MILK MOLAR",1
"MILK MOLAR, TOE, LIMB BONES",1
"MILK TEETH",1
"milk tooth",1
"MILK TOOTH",1
"_ M#/, INCISOR",1
"M#/, INCISOR & FRAGS",1
"M#/, INCISORS",1
"M#/; INCISORS; NAVICULOCUBOID FRAG; 7 MOLAR CUSPS UNERUPTED",1
"MINERAL-STAINED IMPRESSION",1
"MINUS BRAINCASE; A+B",1
"MINUS HEAD, NC",1
"MINUS TAIL",1
"MINUTE LEFT LOWER MOLARIFORM POSTCANINE",1
"MINUTE RIGHT LOWER MOLARIFORM POSTCANINE",1
"misc anterior teeth",1
"misc astragali",1
"misc bone and coprolite",1
"misc bone and tooth frags",1
"misc bone, ? assoc",1
"Misc Bone Fragments",1
"misc. bone frags",1
"misc. bone frags.",1
"misc bone ?humerus",1
"misc bone in concretions",1
"misc bone, mostly phalanges",1
"Misc. bone + partial tooth",1
"Misc. bones",1
"Misc. Bones",1
"MISC BONES",1
"MISC. BONES",1
"misc bones and vertebrae, one w dorsal spine mounted",1
"misc bones from single block",1
"misc bones \incrusted\",1
"misc bone, small",1
"MISC BONES, NC",1
"misc bones with bite marks?",1
"misc bone+teeth",1
"misc bone + tooth",1
"Misc. bone+tooth fragments",1
"misc broken teeth",1
"misc dental and dentary frags",1
"Misc element",1
"misc elements",1
"Miscellaneous",1
"MISCELLANEOUS ?",1
"miscellaneous bits, including incisors, canines, first premolars+a premaxillary chunk",1
"MISCellaneous bone",1
"MISCELLANEOUS BONE",1
"MISCELLANEOUS BONE, A+B; SKULL, NC",1
"miscellaneous bone elements",1
"miscellaneous bones and scales",1
"miscellaneous bones and skeletal fragments",1
"MISCELLANEOUS BONES, PRIMARILY CALCANEUM & ASTRAGALUS",1
"MISCELLANEOUS BONES & SCALES, A+B",1
"MISCELLANEOUS BROKEN TEETH",1
"miscellaneous carapace + plastron bones",1
"Miscellaneous element",1
"miscellaneous element (scute block 3)",1
"miscellaneous elements in matrix",1
"miscellaneous foot elements",1
"miscellaneous fragment",1
"miscellaneous fragments and dorsal vertebrae",1
"miscellaneous fragments and interclavicle",1
"miscellaneous fragments (associated)",1
"MISCELLANEOUS FRAGS",1
"MISCELLANEOUS FRAGS OF ARTIODACTYLA, CYLINDRODON, ISCHYROMYS, ETC.",1
"MISCELLANEOUS FRAG TEETH",1
"MISCELLANEOUS FRAG, TEETH",1
"MISCELLANEOUS GANOID SCALES",1
"miscellaneous humerus fragments (distal)",1
"MISCELLANEOUS INCISORS, MOLARS, JAWS, FRAGS ETC",1
"MISCELLANEOUS INDET",1
"miscellaneous indet. fragments",1
"MISCELLANEOUS ISOLATED MOLARS",1
"MISCELLANEOUS ISOLATED TEETH",1
"miscellaneous jaw fragments (unassociated)",1
"MISCELLANEOUS JAWS",1
"miscellaneous limb elements",1
"miscellaneous limb elements (unassociated)",1
"miscellaneous limb, vertebra+horn core fragments",1
"miscellaneous long bones",1
"miscellaneous lower teeth",1
"miscellaneous mammal, bird+reptile bits",1
"MISCELLANEOUS MAMMAL FRAGS",1
"MISCELLANEOUS MAMMALS: ISCHYROMYS USELESS; METAPODIAL OF HORSE, OTHER FRAGS",1
"MISCELLANEOUS M#/ & M/# COVERED IN MATRIX; ASSOCIATED?",1
"MISCELLANEOUS, MOSTLY VERTEBRAE",1
"miscellaneous osceoderms",1
"miscellaneous palatal teeth",1
"MISCELLANEOUS PARTS, SKULL FRAGS",1
"miscellaneous phalanges",1
"miscellaneous phalanges, limb elements",1
"MISCELLANEOUS PIECES",1
"miscellaneous postcrania",1
"miscellaneous post crania",1
"MISCELLANEOUS RHINO BONES",1
"miscellaneous rib fragments",1
"MISCELLANEOUS SKELETAL PARTS",1
"MISCELLANEOUS SKULL BONES, NC",1
"miscellaneous skull elements",1
"miscellaneous skull elements (unassociated)",1
"MISCELLANEOUS SKULL FRAGS",1
"miscellaneous small bones in coprolite?",1
"MISCELLANEOUS T/#, ASSOCIATED?",1
"miscellaneous teeth and tooth fragments",1
"MISCELLANEOUS TEETH & BONE",1
"MISCELLANEOUS TEETH INCLUDING L M/3 (CYNODONTOMYS)",1
"MISCELLANEOUS TEETH; R M#/",1
"miscellaneous tooth fragments, denticles",1
"miscellaneous tooth fragments (unassociated)",1
"MISCELLANEOUS TOOTH FRAGS",1
"miscellaneous ulnae (unassociated)",1
"MISCELLANEOUS UNASSOCIATED TEETH",1
"miscellaneous unidentified fragments",1
"miscellaneous unidentified limb elements",1
"miscellaneous vertebral centra",1
"miscellaneus cranial+vertebral frags",1
"miscellanous dentary+tooth fragments",1
"MISCELLANY & CONCENTRATE",1
"misc. foot elements",1
"MISC FRAGS",1
"misc. frags. (mostly scales)",1
"misc. frags with spiral fractures",1
"misc hyperostotic bone frags",1
"misc incisors and canines",1
"misc. including part jaw and skull of Tersomius in matrix",1
"misc. jaw fragments",1
"Misc jawl frags",1
"misc. jaws",1
"Misc jaws",1
"MISC JAWS & TEETH",1
"Misc limb bone fragments",1
"misc limb bone frags",1
"Misc limb bone frags",1
"misc limb element",1
"misc limb elements",1
"MISC LIMB ELEMENTS",1
"misc limb fragments",1
"misc. mammal",1
"MISC MATERIAL",1
"misc. maxilla and edentulous jaw fragments",1
"MISC M#/, M/#, P#/, P/#; UNASSOCIATED",1
"misc ossicles",1
"misc osteoderm + bone frag",1
"misc osteoderm+cranial frags",1
"misc. osteoderms",1
"misc osteoderms and teeth",1
"misc partial element",1
"misc partial limb",1
"misc. partial skeletons",1
"misc pedal elements",1
"misc peripheral frags",1
"misc phalanges",1
"misc. phalanges",1
"misc plastron and peripheral frags, unassoc",1
"misc podials",1
"misc podials & phalanges",1
"MISC PODIALS & TOOTH FRAGS",1
"MISC POORLY PRESERVED BONE & TOOTH FRAGS",1
"misc. postcrania",1
"MISC POSTCRANIA",1
"misc postcrania (2)",1
"misc. postcranial bones",1
"misc postcranial bones and fragments",1
"misc. postcranial frags.",1
"Misc postcranial frags",1
"MISC POSTCRANIAL FRAGS",1
"misc. postcranials",1
"MISC POSTCRANIALS",1
"misc postcrania + osteoderms",1
"MISC POSTCRANIA REPRESENTING AT LEAST 3 SEPARATE TAXA",1
"misc premax and I",1
"misc rib frags",1
"Misc scale frags",1
"misc scales and bones",1
"misc scales and vertebrae",1
"misc scrap, assoc w UCLA VP 605",1
"misc. shell and bone frags",1
"misc shell, ?assoc",1
"Misc. Shell Fragments",1
"Misc shell frags",1
"misc shell frags (batch)",1
"MISC SHELL FRAGS,LIMB FRAGS",1
"misc shell frags, some poss assoc.",1
"misc shell frags (unassoc)",1
"misc shell frags, unassoc?",1
"misc shell, unassoc",1
"misc. skeletal elements",1
"misc. skeletel elements",1
"Misc. Skull and Osteoderm fragments",1
"misc. skull fragments",1
"Misc skull fragments",1
"misc. skull roofing bones, vertebrae, long bones",1
"misc skull+scute frags",1
"misc skull+scute frags, juv",1
"misc small bone",1
"misc small frags",1
"MISC SMALL MAMMAL POSTCRANIA",1
"misc. small pieces (in assoc. with vp 3206)",1
"misc spine",1
"misc spine frags",1
"miscteeth",1
"misc teeth and frags",1
"misc. teeth and jaws",1
"misc teeth & bone",1
"MISC TEETH | Cast",1
"MISC TEETH & EDENTULOUS JAWS",1
"MISC TEETH INCLUDING 2 R M#/, L M/#, R M/#",1
"Misc. teeth, scales and limb elements on slide",1
"MISC TEETH, UNASSOCIATED",1
"misc tooth bearing elements",1
"misc tooth+bone",1
"Misc. tooth fragments",1
"Misc tooth frags",1
"misc. turtle prob. not associated",1
"misc upper molars, unassoc",1
"misc upper tooth frags",1
"misc vertebra",1
"Misc Vertebra",1
"misc vertebrae fragments",1
"Misc vertebra fragments",1
"MIX",1
"MIXED GASTRIC RESIDUE",1
"mixed lower tooth frags",1
"M#/; JAW, R P/1, P/3; JAW, R M/3; 2 M/1 OR M/2",1
"M/#, JUVENILE",1
"ML /1-M/2",1
"ML 3",1
"M/#, LARGE, HEEL BASIN-SHAPED WITH TWO POSTERIOR INTERNAL TUBERCLES",1
"M last, worn",1
"M/#: LINGUAL SHELF",1
"M#/, L M/3",1
"M#/, L M3/, FRAG",1
"M/#, L P#/",1
"M#/, L P/4, L M/3",1
"M#/, L P/4, L M/3, R P/4-M/2",1
"M#/, L P/4-M/2, R P/4-M/2",1
"m/M?",1
"Mm",1
"/M M/",1
"/M,M1-M2/",1
"M/#, M/1-M/2",1
"M/,/M1-M3,M1/",1
"M/,M3/",1
"M#/, M/3, ASSOCIATED",1
"M/#, M/3, BONE FRAGS, ASSOCIATED",1
"M#/ & M/#, ASSOCIATED",1
"M#/ & MAX",1
"M,MAXILLA W M FRAG",1
"M/,/M,D/",1
"M/ metacone frag.",1
"M,METAPODIAL",1
"M#/, METAPODIAL FRAGS",1
"M,METAPODIAL,PHALANX",1
"M#/ & M/# & FORE & HIND FOOT BONES | Cast",1
"/M,M FRAG/",1
"M,M FRAG",1
"M/,M FRAG",1
"M#/, M/# FRAG | Cast",1
"/M,/M FRAG,/M3,M3/",1
"m/M fragment",1
"M#/, M/#, FRAGS OF SCAPULA, SKULL; ASSOCIATED",1
"/M,M/,I",1
"M/,/M,I",1
"M#/, M/#, JAW FRAGS",1
"M/,/M,M1",1
"M/,/M,/M2,P/,/P,METAPODIALS,PHALANGES,DENTARY FRAGS W M1-2",1
"M/,/M,METAPODIAL,ASTRAGALUS,DENTARY FRAGS",1
"/M,M/,M FRAG",1
"M/,/M,/M FRAG",1
"M/,/M,/P4",1
"M/,/M,P,I,DENTARY FRAGS",1
"M/,/M,/P,TOOTH FRAG",1
"M/#, M#/, R M/3",1
"M/#, M/# TRIGONID, ASSOCIATED",1
"M#/, M/#, UNASSOCIATED",1
"?mnd frag",1
"mnd frag",1
"mnd frag w/ 2 cheek tooth roots",1
"mnd frag w/ 2 roots",1
"mnd frag w/ roots",1
"mnd frag w/ two cheek tooth roots",1
"mnd M/1-M/2, M/2",1
"mnd ?symphasis w/ roots",1
"mnd. w/ I, P4 & M1",1
"mnd. w/ M1",1
"M.N/x",1
"M#/ (ODDBALL)",1
"MODEL 1/3 NATURAL SIZE, FROM SKELETON, BY THEODORE A. MILLS | Cast",1
"MODEL 1/5 NATURAL SIZE, FROM SKELETON, BY THEODORE A. MILLS | Cast",1
"MODEL 1/5 NATURAL SIZE MADE BY T A MILLS | Cast",1
"model, 6 times enlarged",1
"model; cast",1
"model elements (free-standing); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand)",1
"model elements (separated from model); model: developmental series (mounted on stand); model: developmental series (free-standing); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (free-standing); model: developmental series (mounted on stand); model: developmental series (free-standing); model: developmental series (free-standing); model: developmental series (free-standing); model: developmental series (mounted on stand); model: developmental series (free-standing); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (mounted on stand); model: developmental series (free-standing); model: developmental series (free-standing); model: developmental series (mounted on stand)",1
"Model; HVCI",1
"MODEL IN PLASTER | Cast",1
"MODEL MADE BY H J CLEMENT",1
"MODEL MADE BY MR THEODORE A MILLS | Cast",1
"MODEL MADE BY THEODORE A. MILLS FROM THE FOSSIL SKELETON | Cast",1
"model (mounted)",1
"model; mounted",1
"MODEL _ NATURAL SIZE, FROM SKELETON, BY T H MILLS | Cast",1
"MODEL OF COMPLETE SKELETON | Cast",1
"MODEL OF DORSOMEDIAN PLATE | Cast",1
"MODEL OF HEAD SHIELD AS RESTORED BY DEAN | Cast",1
"MODEL OF LIVING ANIMAL | Cast",1
"model  of reconstructed animal - 1; fossil - 1",1
"MODEL OF SKELETON | Cast",1
"model of skull and jaw",1
"MODEL OF TITANOTHERIUM IN THE FLESH | Cast",1
"M#/ OF SMALL INDIVIDUAL",1
"/MOLAR",1
"MOLAR/",1
"MOLAR, 1 I#/, L HUMERUS",1
"MOLAR & 2 INCISORS",1
"MOLAR, 2 ROWS OF TUBERCLES, ROOTS BROKEN OFF (P/?)",1
"molar and maxilla frag.",1
"Molar and tooth frag",1
"MOLAR; ASTRAGALUS; PHALANX; RIB; LONG BONE FRAGS SAME # AS TOOTH",1
"MOLAR & BONE FRAGS",1
"MOLAR & BONE FRAGS, ASSOCIATED?",1
"molar, broken and worn",1
"MOLAR, CITED AS P4/",1
"MOLAR CROWN",1
"MOLAR CROWN, BADLY WORN",1
"molar crown, m2?",1
"molar enamel cap (talonid)",1
"molar enamel fragment",1
"MOLAR, FEMUR, 2 TIBIAE",1
"MOLAR FRAG, ADULT",1
"MOLAR FRAG | Cast",1
"MOLAR FRAG: ENAMEL",1
"MOLAR FRAG & INCISOR FRAG",1
"molar fragment?, badly corroded",1
"Molar fragments",1
"Molar fragments.",1
"molar fragment, worn",1
"MOLAR FRAG, PREMOLAR FRAG",1
"MOLAR FRAG, REMOVED FROM FLOWSTONE",1
"molar frags (5)",1
"MOLAR FRAG WITH 1 ROOT",1
"molariform, broken",1
"molariform teeth fragments",1
"molariform. Tetracuspate. Root",1
"Molariform. Tetracuspate. Root",1
"molariform tooth, broken",1
"molariform with half root",1
"molarized P3/",1
"molar, juvenile",1
"MOLAR, JUVENILE? | Cast",1
"Molar, left upper",1
"MOLAR, L P4/-M2/, 2 M#/, R P/4-M/1",1
"MOLAR, MEDIAN RIDGE OF TUBERCLES & MARGINAL RIDGES ALMOST SOLID; JAW FRAGS ADHERING TO TOOTH",1
"MOLAR MINUS ROOTS",1
"molar molar",1
"MOLAR, NO ROOTS, TWO ROWS OF TUBERCLES & TUBERCULAR EDGE IN ANTERIOR CORNER OF CROWN",1
"molar or premolar",1
"Molar, partial",1
"MOLAR, PORTION OF TUSK, MAY BE ASSOCIATED",1
"molar/premolar fragment",1
"MOLAR & PREMOLAR FRAGS, ASSOCIATED",1
"MOLAR, PREMOLAR, MISCELLANEOUS & FRAG",1
"molar root",1
"molars, associated",1
"MOLARS, ASSORTED",1
"molars, broken (unassociated)",1
"MOLARS & FRAGS",1
"MOLARS & INCISOR FRAGS",1
"MOLARS, ISOLATED TEETH, UNASSOCIATED",1
"MOLAR, SMALL",1
"molars, miscellaneous",1
"MOLARS (NON-ASSOCIATED)",1
"MOLARS, P4/, CANINE, ASSOCIATED",1
"MOLARS & PREMOLARS",1
"MOLARS/,PREMOLARS/",1
"molar superior",1
"molar superior?",1
"MOLAR, TOE BONE",1
"MOLAR TRIGONID",1
"MOLAR, VERY WORN",1
"Molar with dentary fragment",1
"Mold - 1; Dry - 5",1
"Mold - 3",1
"Mold - 4",1
"Mold - 7",1
"mold; acetate peel w/remnants",1
"mold; mold",1
"mold; mounted",1
"mold of bone",1
"mold of dentary, part and counterpart",1
"mold of fruit",1
"mold of rib, part and counterpart",1
"mold of scale and skeletal frags",1
"mold of skeletal parts, part and counterpart",1
"mold of skeleton frags, part and counterpart",1
"MOLD OF VERTEBRA",1
"mold of vertebra frfag",1
"mold; thin section w/remnants",1
"mollusc shell, echinoderm spines, forams",1
"MORE OR LESS COMPLETE SPECIMEN, A+B",1
"MORE THAN 200 FRAGS OF CRANIAL & POSTCRANIAL MATERIAL",1
"more than one individual, skulls, fragments",1
"M or P/",1
"M OR P/",1
"?/M or P frag",1
"/M or P frag",1
"M or P frag",1
"/M OR P FRAG",1
"M OR P FRAG",1
"M OR P FRAG/",1
"/M or P frags",1
"M or P frags",1
"M or P frags/",1
"M or P/? frags",1
"M or P root",1
"/M OR P TRIGONID",1
"MORTALITY LAYER",1
"MOSTLY COMPLETE FISH A+B",1
"MOSTLY COMPLETE SKELETON",1
"MOSTLY COMPLETE SKULL",1
"mostly complete skull and associated R mandible",1
"mostly complete skull & mandibles",1
"MOSTLY RIBS & FRAGS",1
"mostly upper molar frags.",1
"MOST OF POSTCRANIAL SKELETON",1
"MOST OF PRESACRAL VERTEBRAE, SACRUM, FORELIMBS, & HIND LIMBS",1
"MOST OF SKELETON, DISLOCATED, A+B",1
"MOST OF SKELETON INCLUDING SKULL, A+B",1
"MOST OF SKELETON IN IMPRESSION; 3 SMALL LEPTOLEPIDS ON SAME SLAB, 1 APPARENTLY WITHIN THE BODY OF THE LARGER FISH",1
"MOST OF SKELETON MINUS SKULL",1
"MOST OF SKELETON OF GANOID",1
"MOST OF SKELETON WITH PARTIAL SKULL",1
"MOST OF SKELETON WITH SKULL",1
"most of skull",1
"MOST OF SKULL & POSTCRANIAL ELEMENTS",1
"MOST OF SKULL WITH LOWER JAWS; RIGHT CLAVICLE & ILIUM | Cast",1
"mounted and restored skeleton",1
"mounted block w/ parts of skulls, clavicles, etc.",1
"mounted cast of composite skeleton",1
"MOUNTED CAST OF NECK AND RIB CAGE. | Cast",1
"mounted; restoration",1
"mounted skeleton",1
"MOUNTED SKELETON | Cast",1
"mounted skeleton, complete except for tail",1
"MOUNTED SKELETON; PELVIS, SCAPULAE, LIMBS EXCEPT PROX PART OF 1 ULNA, FEET INCOMPLETE, 3 STERNALS, VERTEBRAL COLUMN NEARLY COMPLETE & MOST OF RIBS",1
"mounted skeleton with restoration",1
"mounted whole animal (dry); mounted whole animal (dry) sample",1
"MOUTHED HEAD",1
"mouthplate segments",1
"movable claw",1
"/M,P/",1
"/M+/P",1
"M,P",1
"M/#, P#/",1
"M,P1",1
"MP2/, 3 MOLARS, R DISTAL HUMERUS",1
"M#/, P/3",1
"M/,/P3 FRAG,R DENTARY W M1",1
"/M,/P4",1
"M#/, P/4",1
"M#/, P4/",1
"M/#, P4/, 2 MOLAR FRAGS",1
"M/,P4-M2/",1
"M#/ PARTIAL",1
"M/#, P#/, ASSOCIATED",1
"M/,PATELLA",1
"/M,/P,C",1
"M#/ & P/# | Cast",1
"M/,P/,DP/",1
"M+P FRAGS",1
"/M,PHALANX",1
"M,PHALANX",1
"M/,PHALANX",1
"/M,PHALANX FRAG,BONE FRAGS",1
"M/,P/,I",1
"/M,PISIFORM,DIST PHALANX",1
"/M,PM",1
"M#/, P#/, M2/-M3/",1
"/M POST FRAG",1
"M/,P/,/P",1
"M,PROX PHALANX",1
"/M,/P,TOOTH FRAG",1
"M/,P,TOOTH FRAG",1
"M-Px",1
"M#/, R M/#",1
"M#/, R M/1-M/2",1
"M#/, R M/1-M/2, L M/2-M/3, M/#",1
"_ M#/, R M/1 OR M/2, L M/#",1
"M#/; R M/2-M/3",1
"/M,/R M3,/L M3",1
"mRNA (frozen); cDNA library (frozen)",1
"mRNA (frozen); whole animal (RNAlater)",1
"mRNA (frozen); whole animal: tissue (RNAlater)",1
"M ROOT",1
"M#/, R P/4-M/1",1
"MS/",1
"ms (3)",1
"M#/ S & ASSOC FRAGS",1
"msc long bone",1
"MS L JAW, P/2-P/3-P/4",1
"MS L JAW, P/3",1
"MS L JAW, P/4-M/1-M/2D",1
"M#/ & SMALL JAW FRAGS",1
"M'S,P'S,I'S,SESAMOIDS",1
"MS R JAW, M/1- M/2",1
"MS R JAW, M/1-M/2",1
"MS R JAW, P/1-P/2-P/3",1
"MS R JAW, P/2-P/3-P/4",1
"MS R JAW, P/3-P/4-M/1 BROKEN",1
"MS R JAW, P/4",1
"MS R JAW, P/4-M/1-M/2",1
"MT-3",1
"/m tal.",1
"m talonid",1
"M/# TALONID; R M/1 OR M/2; R P3/; R P4/; ASSOCIATED",1
"m talonids (unassociated)",1
"M TEETH",1
"MT frag",1
"MTI",1
"MT I FRAG",1
"MT-II",1
"Mt III",1
"MT III",1
"MT  III",1
"MT III frags",1
"MT II or III",1
"/M,TOOTH/",1
"/M,TOOTH FRAG",1
"M/,TOOTH FRAG",1
"M,TOOTH FRAGS",1
"M/,TOOTH FRAGS",1
"M/# & TOOTH FRAGS",1
"M/#, TOOTH FRAGS, ASSOCIATED",1
"M TRIGONID/",1
"M/#, TRIGONID PRESERVED, ROOT BROKEN",1
"M trigon+Q50id",1
"mU?",1
"MUCH DISTORTED SPECIMEN",1
"much of skeleton fragments and partial skulls",1
"MULTICUSPED TOOTH",1
"multicuspid tooth",1
"multi molar frag.",1
"Mummified - 5",1
"M#/ UNASSOCIATED",1
"M,UNGUAL",1
"M,UNGUDIST PHALANXDIUS",1
"muscoid fly",1
"must be something",1
"MUTILATED SKULL & JAWS",1
"MUTILATED SKULL & JAWS & OTHER FRAGS",1
"MUZZLE",1
"M/#, WELL-PRESERVED CROWN, ROOTS BROKEN, HEEL BASIN-SHAPED WITH TWO INTERNAL TUBERCLES",1
"M#/, WELL-PRESERVED, EXTERNAL LEDGES WITH MINUTE TUBERCLES & WELL-FORMED INTERMEDIATE CUSPS",1
"M/#, WELL PRESERVED, VERY PALE YELLOW COLOR",1
"M#/ WITH 5 TUBERCLES ON FACE, BASE OF TOOTH MENDED",1
"M/#, WITH COMPLETE CROWN, HEEL NEARLY BASIN-SHAPED WITH TWO INTERNAL CUSPS, NO ROOTS",1
"M#/ WITH SKELETON ELSEWHERE",1
"M/#, WORN",1
"M#/, WORN",1
"Mx, abraded (lacking anterolabial corner)",1
"Mx, anterolabial part",1
"mx?, badly worn",1
"mx?, broken",1
"Mx?, broken",1
"Mx, broken labially",1
"mx, corroded",1
"Mx, corroded and broken",1
"Mx (distal half)",1
"Mx (distal part)",1
"Mx enamelless talonid",1
"M/x  frag",1
"Mx frag",1
"M/x FRAG",1
"MX frag",1
"Mx/ fragment",1
"MX/ fragment",1
"mx fragments, associated",1
"Mx fragments, mostly protocones",1
"mx fragment w/cusps c & d",1
"Mx frags.",1
"mx frag w/ M1-2",1
"mx frag w/ M2",1
"Mx/, heavily worn",1
"mx in crypt",1
"Mx (in pieces)",1
"Mx/ labial frag.",1
"Mx (labial half)",1
"Mx, labial half",1
"Mx (lacking paracone)",1
"mx (lacking paraconid)",1
"mx, lacking paraconid",1
"mx, lacking part of talonid",1
"Mx (lacking posterolabial corner)",1
"Mx lacking protocone",1
"Mx, lacking protocone and anterior corner",1
"Mx (lacking stylar shelf)",1
"Mx/, left",1
"Mx (lingual part)",1
"Mx, missing anterolabial corner",1
"mx, missing posterior part of talonid",1
"Mx/ or dPx/",1
"Mx/ or P4/",1
"Mx or px",1
"Mx (paracone)",1
"Mx, paracone and anteriolabial corner only",1
"Mx, paracone and metacone only",1
"mx, partial trigonid",1
"mx (posterior half)",1
"Mx, posterior half",1
"Mx (posterior portion)",1
"Mx (protocone?)",1
"Mx (protocones)",1
"Mx (protocones), (unassociated)",1
"m/xs",1
